Zip,Latitude,Longitude,Favorite_Activity,Likelihood_To_Purchase_At_Store,Raise_Awareness,Rate_Experience,Reference,Age_Range,City,State,County,Country
2215,42.347593,-71.102934,1,4,4,4,1,2,Boston,MA,Suffolk County,US
2120,42.332484,-71.096416,1,4,5,5,2,3,Boston,MA,Suffolk County,US
2886,41.70247,-71.47902,1,5,5,5,3,5,Warwick,RI,Kent County,US
2021,42.179146,-71.121185,2,4,5,4,1,5,Canton,MA,Norfolk County,US
2445,42.325483,-71.135045,1,4,5,5,1,5,Brookline,MA,Norfolk County,US
2170,42.267248,-71.016742,2,4,4,4,1,4,Quincy,MA,Norfolk County,US
2122,42.29658,-71.055215,2,3,5,5,1,3,Boston,MA,Suffolk County,US
2151,42.40843,-71.01199,2,5,5,5,1,3,Revere,MA,Suffolk County,US
2130,42.309661,-71.121097,2,4,4,4,2,2,Jamaica Plain,MA,Suffolk County,US
2134,42.35843,-71.12589,1,3,3,3,1,2,Allston,MA,Suffolk County,US
2472,42.369451,-71.177925,1,5,3,5,4,4,Watertown,MA,Middlesex County,US
2151,42.40843,-71.01199,1,5,5,5,4,3,Revere,MA,Suffolk County,US
2451,42.398588,-71.24505,1,5,4,5,5,5,Waltham,MA,Middlesex County,US
2135,42.3501,-71.15644,1,5,5,5,3,2,Brighton,MA,Suffolk County,US
2135,42.3501,-71.15644,1,4,4,4,3,2,Brighton,MA,Suffolk County,US
2382,42.0785,-70.940837,1,4,4,5,6,2,Whitman,MA,Plymouth County,US
2134,42.35843,-71.12589,4,5,4,3,4,1,Allston,MA,Suffolk County,US
2144,42.399655,-71.12255,1,4,4,5,7,3,Somerville,MA,Middlesex County,US
2360,41.886207,-70.638717,4,5,5,5,1,3,Plymouth,MA,Plymouth County,US
3868,43.324241,-70.940177,2,4,4,3,3,5,Rochester,NH,Strafford County,US
2072,42.118416,-71.105733,2,4,3,3,3,4,Stoughton,MA,Norfolk County,US
2123,42.338947,-70.919635,1,5,5,4,1,4,Boston,MA,Suffolk County,US
2111,42.351047,-71.059365,1,3,4,4,6,6,Boston,MA,Suffolk County,US
2121,42.307098,-71.081645,1,1,2,3,8,3,Boston,MA,Suffolk County,US
2128,42.364197,-71.025694,2,5,5,5,7,4,Boston,MA,Suffolk County,US
2121,42.307098,-71.081645,5,5,5,5,2,3,Boston,MA,Suffolk County,US
2148,42.436545,-71.085396,1,3,4,3,1,3,Malden,MA,Middlesex County,US
2141,42.368673,-71.083596,2,4,4,3,1,3,Cambridge,MA,Middlesex County,US
2124,42.286784,-71.071045,5,5,5,5,1,5,Boston,MA,Suffolk County,US
1545,42.286992,-71.715313,1,5,5,5,6,5,Shrewsbury,MA,Worcester County,US
