Index,Vendor,Zip,Latitude,Longitude,City,State
1,Ackermann Maple Farm,5647,44.40145,-72.31232,Cabot,VT
2,African Alliance of RI (AARI),2907,41.797065,-71.425501,Providence,RI
3,Afterburn Hot Sauce,3304,43.128256,-71.544599,Bow,NH
4,Akinto-Travel Water/Ancop,2116,42.350579,-71.076397,Boston,MA
5,Allandale Farm,2467,42.314608,-71.15306,Chestnut Hill,MA
6,American Vinegar Works LLC,1852,42.631849,-71.295785,Lowell,MA
7,Barry’s Hot Sauce,2139,42.365146,-71.101842,Cambridge,MA
8,Beckah’s Bangin’ Butter,1915,42.565145,-70.853843,Beverly,MA
9,BeReal Doughs/ Love and Light Nourishing Foods LLC,2675,41.71007,-70.22586,Yarmouth Port,MA
10,Beth Bakes,2842,41.519757,-71.273101,Middletown,RI
11,BOLA Granola,1230,42.19358,-73.36216,Great Barrington,MA
12,"Boston Food Forest Coalition, Inc.",2126,42.27232,-71.087,Mattapan,MA
13,Boston Area Gleaners,2452,42.394319,-71.218049,Waltham,MA
14,Boston Book Festival,2139,42.365146,-71.101842,Cambridge,MA
15,Boston Organics,2129,42.382588,-71.065287,Charlestown,MA
16,Boston Solar,1801,42.488595,-71.157271,Woburn,MA
17,Boston Veg Food Fest,2120,42.332484,-71.096416,Boston,MA
18,Brewer’s Crackers,2143,42.38092,-71.098896,Somerville,MA
19,Cape Cod Sweets,2576,41.78996,-70.75502,West Wareham,MA
20,The Local Scoop,2653,41.7899,-70.00107,Orleans,MA
21,Commonwealth Kitchen,2121,42.307098,-71.081645,Boston,MA
22,Crooked Stick Pop,1027,42.26676,-72.66898,Easthampton,MA
23,Double Chin,2111,42.351047,-71.059365,Boston,MA
24,Effie’s Homemade,2136,42.254248,-71.129321,Hyde Park,MA
25,Eloti Food Truck,2149,42.407396,-71.051183,Everett,MA
26,Goodnow Farms Chocolate,1776,42.38343,-71.41617,Sudbury,MA
27,Grateful Burger,1915,42.565145,-70.853843,Beverly,MA
28,Heiwa Tofu,4856,44.18452,-69.07615,Rockport,ME
29,Hometown Poké,2906,41.8374,-71.394717,Providence,RI
30,Indelish,2481,42.310597,-71.274652,Wellesley Hills,MA
31,Kitchen Garden Farm,1375,42.46675,-72.5787,Sunderland,MA
32,Kitchen Magic,1752,42.34909,-71.54546,Marlborough,MA
33,Koy,2109,42.360027,-71.054495,Boston,MA
34,Little Acre Gourmet,3820,43.190666,-70.887661,Dover,NH
35,Lost Art Cultured Food,2823,41.7312,-71.546756,Fiskeville,RI
36,Makomas,2151,42.40843,-71.01199,Revere,MA
37,Maple Valley Creamery,1035,42.356804,-72.576613,Hadley,MA
38,Mass Department of Agricultural Resources,2114,42.363175,-71.068646,Boston,MA
39,Meal Mantra,2461,42.317362,-71.206508,Newton Highlands,MA
40,Mela Indian Restaurant,2118,42.336162,-71.072854,Boston,MA
41,MOJO Cold Brewed Coffee,1984,42.597691,-70.8732,Wenham,MA
42,Mr. Tamole,2131,42.284197,-71.120896,Roslindale,MA
43,Dairy Promotion Board,2114,42.363175,-71.068646,Boston,MA
44,Nashoba Brook Bakery,1742,42.46037,-71.34895,Concord,MA
45,Nicolena’s Cheesecake Truck,2601,41.65289,-70.2828,Hyannis,MA
46,Nirvana the Taste of India,2138,42.380442,-71.132947,Cambridge,MA
47,NOBL Coffee,2115,42.336342,-71.104176,Boston,MA
48,North Square Oyster,2113,42.365398,-71.055001,Boston,MA
49,Old Friends Farm,1002,42.367092,-72.464571,Amherst,MA
50,onebitesweet,1702,42.282576,-71.43676,Framingham,MA
51,Our Family Farms,1301,42.601335,-72.623619,Greenfield,MA
52,Prophecy Chocolate,2457,42.299388,-71.274242,Babson Park,MA
53,Qs Nuts,2144,42.399655,-71.12255,Somerville,MA
54,R&S Jamaican Restaurant,2131,42.284197,-71.120896,Roslindale,MA
55,Real Pickles,1301,42.601335,-72.623619,Greenfield,MA
56,Red Apple Farm,1331,42.59353,-72.23033,Athol,MA
57,Seaview Farm,1966,42.657866,-70.618057,Rockport,MA
58,Sisters of Anarchy Ice Cream,5482,44.38061,-73.22763,Shelburne,VT
59,Somerville Chocolate,2143,42.38092,-71.098896,Somerville,MA
60,Sugar Bob’s Finest Kind,5701,43.630346,-72.93586,Rutland,VT
61,"Sustainable Food Solutions Inc, Bug Bite Farm",1915,42.565145,-70.853843,Beverly,MA
62,Taco Party,2144,42.399655,-71.12255,Somerville,MA
63,Tamim Teas,2885,41.727451,-71.257492,Warren,RI
64,Tasting Counter,2143,42.38092,-71.098896,Somerville,MA
65,Taza Chocolate,2143,42.38092,-71.098896,Somerville,MA
66,"The Baklava Project, LLC",2081,42.148624,-71.255533,Walpole,MA
67,The Farmer’s Daughter,2356,42.053408,-71.12033,North Easton,MA
68,The Green Crab R&D Project,2633,41.67633,-69.96321,Chatham,MA
69,Rose F Kennedy Greenway,2110,42.361962,-71.047847,Boston,MA
70,The Spota,1801,42.488595,-71.157271,Woburn,MA
71,Whoopie Wagon,1983,42.661793,-70.954487,Topsfield,MA
72,Thistle’s All Natural,3263,43.297834,-71.343707,Pittsfield,NH
73,UPrise Foods,10956,41.149494,-73.98827,New City,NY
74,Venus Wafers,2043,42.212105,-70.884989,Hingham,MA
75,Waku,20170,38.983887,-77.367457,Herndon,VA
